date, values
24/3/2022,14.584
25/3/2022,14.26
26/3/2022,15.07
29/3/2022,13.912
30/3/2022,15.25
31/3/2022,16.762
1/4/2022,15.11
2/4/2022,14.342
3/4/2022,14.158
4/4/2022,15.688
5/4/2022,15.08
6/4/2022,14.368
7/4/2022,10.722
8/4/2022,16.412
9/4/2022,15.906
10/4/2022,18.656
11/4/2022,19.476
12/4/2022,13.79
13/4/2022,17.338
14/4/2022,19.68
15/4/2022,1.88
16/4/2022,19.27
17/4/2022,19.448
18/4/2022,19.572
19/4/2022,19.47
20/4/2022,0
21/4/2022,12.82
22/4/2022,12.568
23/4/2022,18.07
24/4/2022,19.484
25/4/2022,19.638
26/4/2022,19.602
27/4/2022,19.512
28/4/2022,12.948
29/4/2022,19.658
30/4/2022,1.97
1/5/2022,14.682
2/5/2022,12.754
3/5/2022,11.808
4/5/2022,13.106
5/5/2022,17.608
6/5/2022,1.986
7/5/2022,1.902
8/5/2022,10.372
9/5/2022,19.436
10/5/2022,1.976
11/5/2022,12.764
12/5/2022,19.614
13/5/2022,19.542
14/5/2022,11.152
15/5/2022,1.996
16/5/2022,1.948
17/5/2022,1.966
18/5/2022,1.996
19/5/2022,1.99
20/5/2022,11.656
21/5/2022,1.996
22/5/2022,1.922
23/5/2022,1.98
24/5/2022,1.94
25/5/2022,1.966
26/5/2022,1.936
27/5/2022,1.964
28/5/2022,1.918
29/5/2022,13.85
30/5/2022,1.988
31/5/2022,7.74
1/6/2022,1.99
2/6/2022,1.986
3/6/2022,1.996
4/6/2022,19.576
5/6/2022,1.97
6/6/2022,1.994
7/6/2022,19.624
8/6/2022,1.964
9/6/2022,1.986
10/6/2022,19.39
11/6/2022,1.982
12/6/2022,1.998
13/6/2022,1.992
14/6/2022,1.962
15/6/2022,1.984
16/6/2022,19.624
17/6/2022,1.998
18/6/2022,1.972
19/6/2022,1.97
20/6/2022,1.984
21/6/2022,1.974
22/6/2022,1.962
23/6/2022,1.996
24/6/2022,1.96
25/6/2022,1.982
26/6/2022,1.986
27/6/2022,1.97
28/6/2022,1.998
29/6/2022,1.924
30/6/2022,19.56
1/7/2022,16.988
2/7/2022,1.972
3/7/2022,1.89
4/7/2022,1.916
5/7/2022,1.954
6/7/2022,1.97
7/7/2022,1.996
8/7/2022,1.954
9/7/2022,1.998
10/7/2022,1.996
11/7/2022,1.972
12/7/2022,1.902
13/7/2022,19.51
14/7/2022,1.996
15/7/2022,18.906
16/7/2022,1.996
17/7/2022,1.972
18/7/2022,1.996
19/7/2022,1.992
20/7/2022,1.998
21/7/2022,1.954
22/7/2022,1.918
23/7/2022,1.884
24/7/2022,1.996
25/7/2022,1.978
26/7/2022,1.962
27/7/2022,1.962
28/7/2022,1.99
29/7/2022,1.998
30/7/2022,1.992
31/7/2022,1.982
1/8/2022,1.908
2/8/2022,1.992
3/8/2022,1.96
4/8/2022,1.992
5/8/2022,1.982
6/8/2022,1.978
7/8/2022,1.95
8/8/2022,1.962
9/8/2022,1.988
10/8/2022,19.49
11/8/2022,19.542
12/8/2022,15.092
13/8/2022,1.978
14/8/2022,1.98
15/8/2022,1.946
16/8/2022,1.99
17/8/2022,1.994
18/8/2022,18.942
19/8/2022,1.998
20/8/2022,1.958
21/8/2022,1.968
22/8/2022,1.998
23/8/2022,1.984
24/8/2022,1.962
25/8/2022,1.992
26/8/2022,1.994
27/8/2022,1.97
28/8/2022,1.986
29/8/2022,11.226
30/8/2022,1.938
31/8/2022,1.804
1/9/2022,13.21
2/9/2022,1.988
3/9/2022,13.73
4/9/2022,17.316
5/9/2022,19.158
6/9/2022,13.268
7/9/2022,13.266
8/9/2022,14.818
9/9/2022,13.054
10/9/2022,10.864
11/9/2022,10.93
12/9/2022,1.878
13/9/2022,11.608
14/9/2022,19.52
15/9/2022,16.188
16/9/2022,1.962
17/9/2022,12.192
18/9/2022,10.636
19/9/2022,1.98
20/9/2022,1.968
21/9/2022,12.93
22/9/2022,14.198
23/9/2022,13.054
24/9/2022,10.916
25/9/2022,12.506
26/9/2022,1.998
27/9/2022,1.936
28/9/2022,14.918
29/9/2022,17.25
30/9/2022,13.63
1/10/2022,13.226
2/10/2022,14.976
3/10/2022,1.936
4/10/2022,1.96
5/10/2022,1.964
6/10/2022,1.892
7/10/2022,12.754
8/10/2022,12.518
9/10/2022,1.958
10/10/2022,12.808
11/10/2022,1.99
12/10/2022,15.016
13/10/2022,1.98
14/10/2022,1.99
15/10/2022,1.964
16/10/2022,1.832
17/10/2022,1.962
18/10/2022,1.984
19/10/2022,1.962
20/10/2022,1.986
21/10/2022,1.958
22/10/2022,1.942
23/10/2022,1.956
24/10/2022,1.92
25/10/2022,1.926
26/10/2022,1.998
27/10/2022,1.928
28/10/2022,1.922
29/10/2022,1.998
30/10/2022,1.978
31/10/2022,1.984
1/11/2022,1.976
2/11/2022,1.972
3/11/2022,1.964
4/11/2022,1.946
5/11/2022,1.974
6/11/2022,1.99
7/11/2022,1.926
8/11/2022,1.904
9/11/2022,1.938
10/11/2022,1.988
11/11/2022,1.968
12/11/2022,1.946
13/11/2022,1.988
14/11/2022,1.998
15/11/2022,1.996
16/11/2022,1.94
17/11/2022,1.964
18/11/2022,1.916
19/11/2022,1.988
20/11/2022,1.992
21/11/2022,1.96
22/11/2022,1.998
23/11/2022,1.99
24/11/2022,1.892
25/11/2022,1.96
26/11/2022,1.952
27/11/2022,1.988
28/11/2022,1.988
29/11/2022,1.992
30/11/2022,1.984
1/12/2022,1.92
2/12/2022,1.994
3/12/2022,1.876
4/12/2022,1.996
5/12/2022,1.954
6/12/2022,1.99
7/12/2022,1.912
8/12/2022,1.988
9/12/2022,1.934
10/12/2022,1.998
11/12/2022,1.998
12/12/2022,1.864
13/12/2022,1.99
14/12/2022,1.992
15/12/2022,1.992
16/12/2022,1.996
17/12/2022,1.982
18/12/2022,1.952
19/12/2022,1.978
20/12/2022,1.986
21/12/2022,1.988
22/12/2022,1.962
23/12/2022,1.994
24/12/2022,1.94
25/12/2022,1.976
26/12/2022,10.688
27/12/2022,1.99
28/12/2022,1.998
29/12/2022,1.894
30/12/2022,1.99
31/12/2022,1.918
1/1/2023,1.932
2/1/2023,1.986
3/1/2023,1.916
4/1/2023,1.976
5/1/2023,1.988
6/1/2023,1.994
7/1/2023,1.962
8/1/2023,1.952
9/1/2023,1.992
10/1/2023,1.98
11/1/2023,1.926
12/1/2023,1.998
13/1/2023,1.968
14/1/2023,1.97
15/1/2023,1.998
16/1/2023,1.968
17/1/2023,1.994
18/1/2023,5.646
19/1/2023,1.956
20/1/2023,1.926
21/1/2023,1.97
22/1/2023,5.53
25/1/2023,7.248
26/1/2023,1.952
27/1/2023,1.962
28/1/2023,1.99
29/1/2023,1.99
30/1/2023,1.892
31/1/2023,7.372
1/2/2023,1.998
2/2/2023,1.992
3/2/2023,1.996
4/2/2023,1.966
5/2/2023,1.966
6/2/2023,1.968
7/2/2023,1.984
8/2/2023,1.978
9/2/2023,1.93
10/2/2023,1.996
11/2/2023,1.986
12/2/2023,1.988
13/2/2023,1.974
14/2/2023,1.986
15/2/2023,1.992
16/2/2023,1.986
17/2/2023,1.95
18/2/2023,1.994
19/2/2023,1.914
20/2/2023,1.96
21/2/2023,1.986
22/2/2023,1.994
23/2/2023,1.968
24/2/2023,1.978
25/2/2023,1.976
26/2/2023,1.924
27/2/2023,1.934
28/2/2023,1.95
1/3/2023,1.984
2/3/2023,1.994
3/3/2023,6.278
4/3/2023,1.994
5/3/2023,1.994
6/3/2023,8.024
7/3/2023,1.992
8/3/2023,1.992
9/3/2023,1.968
10/3/2023,1.97
11/3/2023,1.982
12/3/2023,1.992
13/3/2023,1.972
14/3/2023,1.968
15/3/2023,9.616
16/3/2023,1.856
17/3/2023,1.986
18/3/2023,1.988
19/3/2023,1.964
20/3/2023,1.986
21/3/2023,1.99
22/3/2023,1.914
23/3/2023,1.998
24/3/2023,1.982
25/3/2023,1.958
26/3/2023,1.956
27/3/2023,1.934
28/3/2023,1.96
29/3/2023,1.924
30/3/2023,1.992
31/3/2023,1.998
1/4/2023,1.928
2/4/2023,1.98
3/4/2023,1.988
4/4/2023,1.996
5/4/2023,1.968
6/4/2023,1.996
7/4/2023,1.966
8/4/2023,1.908
9/4/2023,1.992
10/4/2023,1.978
11/4/2023,1.986
12/4/2023,8.292
13/4/2023,8.596
14/4/2023,15.352
15/4/2023,1.988
16/4/2023,1.988
17/4/2023,1.998
18/4/2023,1.994
19/4/2023,1.99
20/4/2023,1.998
21/4/2023,1.968
22/4/2023,1.942
23/4/2023,1.922
24/4/2023,1.984
25/4/2023,6.466
26/4/2023,1.116
27/4/2023,1.996
28/4/2023,1.948
29/4/2023,1.912
30/4/2023,1.962
1/5/2023,1.956
2/5/2023,1.982
3/5/2023,1.938
4/5/2023,1.992
5/5/2023,1.972
6/5/2023,1.994
7/5/2023,1.976
8/5/2023,1.992
9/5/2023,1.988
10/5/2023,1.998
11/5/2023,1.984
12/5/2023,1.996
13/5/2023,1.998
14/5/2023,1.994
15/5/2023,1.994
16/5/2023,1.982
17/5/2023,1.998
18/5/2023,1.972
19/5/2023,1.99
20/5/2023,1.996
21/5/2023,1.996
22/5/2023,1.92
23/5/2023,1.98
24/5/2023,1.992
25/5/2023,1.968
26/5/2023,1.986
27/5/2023,1.994
28/5/2023,1.998
29/5/2023,1.994
30/5/2023,1.988
31/5/2023,6.974
1/6/2023,1.966
2/6/2023,1.888
3/6/2023,1.968
4/6/2023,1.994
5/6/2023,1.998
6/6/2023,1.99
7/6/2023,1.992
8/6/2023,1.988
9/6/2023,1.986
10/6/2023,1.998
11/6/2023,1.944
12/6/2023,1.998
13/6/2023,1.996
14/6/2023,1.998
15/6/2023,1.986
16/6/2023,1.964
17/6/2023,1.996
18/6/2023,1.988
19/6/2023,1.996
20/6/2023,1.992
21/6/2023,1.998
22/6/2023,1.996
23/6/2023,1.996
24/6/2023,1.998
25/6/2023,1.98
26/6/2023,1.996
27/6/2023,1.994
28/6/2023,1.994
29/6/2023,1.988
30/6/2023,1.976
1/7/2023,1.996
2/7/2023,1.996
3/7/2023,1.988
4/7/2023,1.998
5/7/2023,1.96
6/7/2023,1.976
7/7/2023,1.992
8/7/2023,1.996
9/7/2023,1.996
10/7/2023,1.984
11/7/2023,1.984
12/7/2023,1.97
13/7/2023,1.926
14/7/2023,1.956
15/7/2023,1.976
16/7/2023,1.948
17/7/2023,1.914
18/7/2023,1.992
19/7/2023,1.99
20/7/2023,1.976
21/7/2023,1.928
22/7/2023,1.99
23/7/2023,1.994
24/7/2023,1.984
25/7/2023,1.958
26/7/2023,1.998
27/7/2023,1.962
28/7/2023,1.952
29/7/2023,1.968
30/7/2023,1.978
31/7/2023,1.996
1/8/2023,1.98
2/8/2023,1.966
3/8/2023,1.99
4/8/2023,1.912
5/8/2023,0
6/8/2023,2.722
7/8/2023,0.878
8/8/2023,2.614
9/8/2023,3.434
10/8/2023,0
11/8/2023,1.218
12/8/2023,2.714
13/8/2023,1.404
14/8/2023,3.386
15/8/2023,3.394
16/8/2023,4.164
17/8/2023,0.772
18/8/2023,1.628
19/8/2023,2.692
20/8/2023,0
21/8/2023,0
22/8/2023,0.798
23/8/2023,3.8
24/8/2023,1.286
25/8/2023,0.82
26/8/2023,2.834
27/8/2023,0
28/8/2023,1.046
29/8/2023,2.526
30/8/2023,0.746
31/8/2023,2.708
1/9/2023,0.902
2/9/2023,3.178
3/9/2023,0.792
4/9/2023,1.052
5/9/2023,0
